Source,Target,Weight
301,715,1
301,737,1
301,932,1
301,933,1
302,361,1
302,405,1
302,423,1
302,528,1
303,473,1
303,613,1
303,896,1
304,828,1
304,862,1
305,426,1
305,470,1
305,509,1
305,666,1
306,474,1
306,477,1
306,494,1
306,632,1
306,675,1
306,896,1
307,311,1
307,318,1
307,732,1
307,823,1
307,913,1
308,446,1
308,683,1
309,509,1
309,532,1
309,556,1
309,920,1
309,966,1
310,350,1
310,401,1
310,503,1
310,649,1
310,762,1
311,344,1
311,453,1
311,480,1
311,520,1
311,793,1
311,980,1
312,346,1
312,456,1
312,500,1
313,333,1
313,588,1
314,450,1
314,526,1
314,652,1
314,769,1
315,382,1
315,566,1
315,686,1
316,401,1
316,476,1
316,538,1
316,606,1
317,695,1
317,716,1
317,919,1
318,341,1
318,342,1
318,380,1
318,480,1
318,579,1
318,742,1
318,919,1
319,451,1
319,538,1
319,669,1
319,783,1
319,936,1
319,939,1
319,988,1
320,368,1
320,392,1
320,743,1
321,467,1
321,581,1
321,721,1
321,781,1
321,809,1
321,841,1
321,905,1
322,407,1
322,779,1
322,899,1
323,452,1
323,704,1
323,747,1
323,845,1
323,982,1
324,535,1
324,685,1
324,692,1
325,421,1
325,600,1
325,631,1
325,847,1
326,432,1
326,875,1
327,473,1
327,686,1
328,448,1
328,507,1
328,511,1
328,533,1
328,658,1
328,855,1
329,570,1
329,575,1
329,684,1
329,689,1
329,800,1
329,914,1
330,520,1
330,564,1
330,586,1
330,598,1
330,655,1
330,859,1
331,558,1
331,773,1
332,335,1
332,464,1
332,530,1
332,715,1
332,731,1
332,760,1
332,838,1
333,587,1
333,917,1
333,926,1
333,996,1
334,354,1
334,357,1
334,377,1
334,394,1
334,418,1
334,712,1
335,348,1
335,849,1
335,865,1
335,888,1
335,953,1
336,614,1
336,935,1
337,649,1
337,667,1
337,773,1
338,701,1
339,353,1
339,562,1
339,882,1
339,999,1
340,357,1
340,377,1
340,383,1
340,676,1
340,937,1
341,378,1
341,397,1
341,627,1
341,717,1
341,732,1
342,381,1
342,627,1
342,791,1
343,519,1
343,935,1
344,874,1
